"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
1,"Loßburg Schemberg Biechlinsberg Renharzow",NA,"48,411389","8,453056","1539","1539","WOD","Schwaben",NA,"au","au",1,1539,8.453056,48.411389
5,"Magdenau",NA,"47,40160262","9,17066575","1450","15. Jh.","CH","CH",NA,"u","u",0,1450,9.17066575,47.40160262
6,"Maikammer",NA,"49,30638889","8,129444444","1577","1577","WMD","WMD",NA,"au","au",1,1577,8.129444444,49.30638889
6,"Marbach im Rheinthal bei Altstetten St. Gallen",NA,"47,39202","9,56889","1487","1487","CH","CH",NA,"u","u",0,1487,9.56889,47.39202
3,"Medebach",NA,"51,198056","8,704722","1580","1580","NDT","Westfalen",NA,"au","au",1,1580,8.704722,51.198056
5,"Melbach",NA,"50,38055556","8,808333333","1475","1475","MDT","Hessen",NA,"u","u",0,1475,8.808333333,50.38055556
6,"Moshaim bei Haidau Regensburg",NA,"48,925502","12,270934","1301","14. Jh. Anfang","OOD","Baiern",NA,"au","au",1,1301,12.270934,48.925502
3,"Naumburg",NA,"51,247222","9,164722","1465","1465","MDT","Hessen",NA,"au","au",1,1465,9.164722,51.247222
3,"Neukirchen",NA,"50,871389","9,343333","1486","1486","MDT","Hessen",NA,"u","u",0,1486,9.343333,50.871389
1,"Nordenstat bei Wiesbaden",NA,"50,063889","8,343056","1426","1426","MDT","MDT",NA,"au","au",1,1426,8.343056,50.063889
6,"Nürnberg",NA,"49,455556","11,078611","1365","1294, 1365",NA,NA,NA,"au","au",1,1365,11.078611,49.455556
5,"Oberuzwil",NA,"47,42972","9,12306","1436","1436","CH","CH",NA,"u","u",0,1436,9.12306,47.42972
5,"Oberwoellstadt","Oberwöllstadt","50","9","1478","1478","MDT","Hessen",NA,"u","u",0,1478,9,50
1,"Ossingen bei Andelfingen",NA,"47,613054","8,727215","1601","1601","CH","CH",NA,"u","u",0,1601,8.727215,47.613054
1,"Ottenheim Ichenheim bei Mahlberg",NA,"48,375556","7,762222","1452","1452","WOD","Schwarzwald",NA,"u","u",0,1452,7.762222,48.375556
6,"Pfaunloch bei Nördlingen",NA,"48,850696","10,435048","1480","1480","WOD","Schwaben",NA,"au","au",1,1480,10.435048,48.850696
2,"Querscheid (Saar)",NA,"49,324444","7,051111","1466","1466","WMD","WMD",NA,"au","au",1,1466,7.051111,49.324444
3,"Raesfeld",NA,"51,766667","6,833333","1575","1575","NDT","Westfalen",NA,"au","au",1,1575,6.833333,51.766667
6,"Raschenberg bei Traunstein",NA,"47,846908","12,784273","1671","1671","OOD","Baiern",NA,"au","au",1,1671,12.784273,47.846908
1,"Reingau Landrecht",NA,"49,979021","7,923435","1390","Ende 14. Jh.","WMD","WMD",NA,"au","au",1,1390,7.923435,49.979021
6,"Remlingen bei Wertheim",NA,"49,804444","9,694167","1409","1409","MDT","Franken",NA,"au","au",1,1409,9.694167,49.804444
4,"Sanct Blasien Hof am Schluchsee",NA,"47,761944","8,128333","1373","1373","WOD","Schwaben",NA,"u","u",0,1373,8.128333,47.761944
4,"Sanct Blasien Waldamt",NA,"47,761944","8,128333","1383","1383","WOD","Schwaben",NA,"u","u",0,1383,8.128333,47.761944
3,"Sandwell bei Horstmar",NA,"52,08","7,31","1566","1566","NDT","Westfalen",NA,"au","au",1,1566,7.31,52.08
5,"Schifferstadt",NA,"49,38611111","8,376111111","1642","Abschrift 1642","WMD","WMD",NA,"au","au",1,1642,8.376111111,49.38611111
2,"Schillingen Waldweiler",NA,"49,634261","6,784994","1549","1549","WMD","WMD",NA,"au","au",1,1549,6.784994,49.634261
2,"Schleiden (Prüm)",NA,"50,53","6,476389","1547","1547","WMD","WMD",NA,"au","au",1,1547,6.476389,50.53
4,"Schönau Sondergüter",NA,"47,786667","7,894167","1352","1352","WOD","Schwaben",NA,"u","u",0,1352,7.894167,47.786667
