"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
6,"Sponheim oder Spanheim, Kloster",NA,"49,845833","7,726389","1488","1488","WMD","WMD","i",NA,"i",0,1488,7.726389,49.845833
4,"St. Gilgen Thürkheim",NA,"48,086389","7,280556","1350","14. Jh.","Elsass","Elsass","i",NA,"i",0,1350,7.280556,48.086389
4,"St. Lükart",NA,"47,596667","7,222222","1354","1354","Elsass","Elsass","i",NA,"i",0,1354,7.222222,47.596667
1,"Stäfa am Zürcher See",NA,"47,241941","8,722496","1450","15. Jh.","CH","CH","i",NA,"i",0,1450,8.722496,47.241941
5,"Struth",NA,"49","7","1585","1585","WMD","Elsass","i",NA,"i",0,1585,7,49
5,"Sulze",NA,"47,885833","7,229167","1300","1300","Elsass","Elsass","i",NA,"i",0,1300,7.229167,47.885833
1,"Tablatt bei St Gallen",NA,"47,4369","9,405","1471","1471","CH","CH","i",NA,"i",0,1471,9.405,47.4369
4,"Tätwil Aargau",NA,"47,45259","8,28515","1456","1456","CH","CH","i","u","i",0,1456,8.28515,47.45259
4,"Thayngen bei Schaffhausen",NA,"47,746827","8,708725","1444","1444","CH","CH","i","u","i",0,1444,8.708725,47.746827
5,"Thundorf","Thundorf TG","47,547225","8,964722","1463","1463","CH","CH","i","u","i",0,1463,8.964722,47.547225
2,"Trier",NA,"49,7596","6,6439","1565","1565","WMD","WMD","i",NA,"i",0,1565,6.6439,49.7596
6,"Twann",NA,"47,0947","7,1562","1426","1426","CH","CH","i","u","i",0,1426,7.1562,47.0947
5,"Ueszlingen","Uesslingen","47,5816","8,8327","1420","1420","CH","CH","i","u","i",0,1420,8.8327,47.5816
5,"Uffrieth","Sessenheim","48,797222","7,986389","1528","1528","Elsass","Elsass","i",NA,"i",0,1528,7.986389,48.797222
3,"Ufhausen bei Eiterfeld",NA,"50,76","9,8","1501","1501","MDT","Hessen","i",NA,"i",0,1501,9.8,50.76
3,"Ufhausen bei Eiterfeld",NA,"50,76","9,8","1511","1511","MDT","Hessen","i",NA,"i",0,1511,9.8,50.76
1,"Ütenheim","Ittenheim","48,604167","7,594444","1550","16. Jh.","Elsass","Elsass","i",NA,"i",0,1550,7.594444,48.604167
