Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein;Haus;
5;Dietikon;;47,405829;8,403896;NN;NN;CH;CH;i;u;
3;Diffenthal;Tiefenthal (Erlenbach bei Marktheidenfeld) ;49,811667;9,658056;1449;1449;MDT;Franken;ei;;
5;Dingsheim;;48,63055556;7,669722222;1350;14.Jh.;Elsass;Elsass;i;;
3;Dissen;;52,11575;8,203417;1582;1582;NDT;Westfalen;ei;;
3;Dissen bei Osnabrück;;52,12;8,2;1582;1582;NDT;Westfalen;;;
3;Ditterser Holz (bei Blumenau, Gehrden);;52,436136;9,452153;1606;1606;NDT;Niedersachsen;;au;
3;Dockweiler (bei Daun);;50,251944;6,7825;1550;16. Jh.;WMD;WMD;ei;;
2;Dommershausen;;50,143611;7,397778;1580;1580;WMD;WMD;ei;;
2;Dommershausen bei Treis an der Mosel;;50,143611;7,397778;1580;1580;WMD;WMD;;;
1;Dornhaim;Dornhan;48,349444;8,512222;1417;1417;WOD;Schwarzwald;i;u;
1;Dornheim bei Hornberg und Rotweil;;48,168056;8,624722;1251;1251;WOD;Baden;;;
1;Dornstetten;;48,47027778;8,499444444;1400;1400;WOD;Baden;;;
1;Dornstetten;;48,47027778;8,499444444;1456;1456;WOD;Schwarzwald;i_ei;u;
2;Dörrebach (Hundsrück) bei Stromberg;;49,945278;7,720556;1508;1508;WMD;WMD;;;
1;Dörsdorf;D�rsdorf;50,247439;8,010325;1523;1523;MDT;MDT;ei;;
3;Dorweiler;;50,79;6,68;NN;NN;WMD;Moselfränkisch;;;
2;Dreiborn;Dreiborn (Schleiden) ;50,545556;6,409722;1419;1419;WMD;WMD;ei;au;
6;Dreieich;;50,01888889;8,696111111;1338;1338;WMD;WMD;;u;
2;Dreis bei Wittlich;;49,941008;6,817278;1453;1453;WMD;WMD;;au;
2;Dreys;;49,941008;6,817278;1588;1588;WMD;WMD;ei;;
2;Dreys (Mosel);;50,341111;6,996111;1588;1588;WMD;WMD;;;
2;Drohn Wintrich Berncastel Graach;Wintrich;49,884722;6,953333;1315;1315;WMD;WMD;i;;
2;Drohn Wintruch Berncastel Graach;Wintrich;49,884722;6,953333;1315;1315;WMD;WMD;i;;
4;Dübendorf;;47,398332;8,619445;1483;1483;CH;CH;i;;
2;Duckweiler (bei Gillenbeuren Mosel);;50,251944;6,7825;1550;16. Jh.;WMD;WMD;;;
3;Dünchenheim;Düngenheim;50,25852;7,16833;1521;1521;WMD;WMD;i;;
3;Dünchenheim;;50,23;7,14;1521;1521;WMD;Moselfränkisch;ei;;
5;Duntzenheim;;;;1438;1438;Elsass;Elsass;i;;
5;Düppigheim;;48,52861111;7,593611111;1528;1528;Elsass;Elsass;;;
1;Dürkheim;Bad D�rkheim;49,459444;8,168056;1530;1530;MDT;MDT;i_ei;u;
5;Durningen;;;;NN;NN;Elsass;Elsass;ei;;
5;Ebernburg;;;;1567;1567;WMD;WMD;ei;au;
5;Ebersheimmuenster;;48,311111;7,524167;1612;1612;Elsass;Elsass;ei;au;
1;Ebersheimmünster;Ebersmunster;48,311111;7,524167;1320;1320;Elsass;Elsass;i;u;
4;Eddersheim;;50,0395;8,4717;1535;1535;WOD;Schwaben;ei;;
6;Ederheim bei Nördlingen;;48,08889;10,465556;1650;17. Jh.;WOD;Schwaben;;;
3;Edingen (bei Echternach);;49,8151;6,48911;1588;1588;WMD;WMD;ei;;
3;Edingen bei Echternach;;49,8151;6,48911;1588;1588;WMD;Moselfränkisch;;;
2;Edisheim;Idesheim;49,874722;6,573333;1518;1518;WMD;WMD;i;;
1;Egeri;Ober�geri;47,136104;8,613887;1350;14.Jh.;CH;CH;i;;
1;Egeri bei Zug;;47,138882;8,58472;1350;14. Jh.;CH;CH;;;
4;Egisheim;;;;1508;1508;Elsass;Elsass;i;;
4;Egringen;;;;NN;NN;CH;CH;i;u;
6;Ehringen bei Nördlingen;;48,877778;10,473889;1484;1484;WOD;Schwaben;ei;au;
6;Eibelstadt;;49,72388889;10,00083333;1396;1396;MDT;Franken;ei;au;
2;Eidenborn Falscheid (Saar);;49,39145;6,90512;1564;1564;WMD;WMD;ei;au;
2;Eidger und Eller (Mosel);Ediger-Eller;50,098056;7,150833;1550;16. Jh.;WMD;WMD;ei;;
2;Eidinger Eller (Mosel);Ediger-Eller;50,098056;7,150833;1550;16. Jh.;WMD;WMD;ei;au;
3;Eikel;;52,31;8,23;1500;um 1500;NDT;Westfalen;;;
1;Einsiedeln;;47,128055;8,743058;1493;1493;CH;CH;i;u;
5;Eisenberg (bei Grünstadt und Ramsen);;;;1656;1656;WMD;WMD;ei;;
3;Eisenhausen (zwischen Marburg und Siegen);;50,841389;8,474722;1485;1485;MDT;Hessen;;au;
1;Ekbolzheim;Ekbolzheim;48,578889;7,689722;1532;1532;Elsass;Elsass;ei;;
3;Elbermark (zwischen Wolfhagen und Fritzlar);;51,222;9,2;1440;1440;MDT;Hessen;;u;
4;Eldagsen (bei Hannover);;;;1557;1557;NDT;Niedersachsen;;au;
1;Elhalden (Ehlhalten) Nithusen;;50,174992;8,368401;1482;1482;MDT;MDT;i;;
6;Ellenz;;50,114167;7,233889;NN;Abschrift 15. Jh.;WMD;WMD;i;;
2;Ellenz (Mosel);;50,114167;7,233889;1644;1644;WMD;WMD;ei;;
1;Ellikon;;47,564442;8,82583;NN;NN;CH;CH;i;u;
